"mtry","ntree","Misclass"
35,10,0.12686
35,29,0.11048
35,48,0.10836
35,67,0.10838
35,86,0.10772
35,105,0.10604
35,124,0.10562
35,143,0.10612
36,10,0.1262
36,29,0.11228
36,48,0.10864
36,67,0.10932
36,86,0.10702
36,105,0.10616
36,124,0.1064
36,143,0.10652
37,10,0.12586
37,29,0.11002
37,48,0.10848
37,67,0.10796
37,86,0.1076
37,105,0.1063
37,124,0.10544
37,143,0.10626
38,10,0.1246
38,29,0.11216
38,48,0.10786
38,67,0.1082
38,86,0.1065
38,105,0.10612
38,124,0.10686
38,143,0.10572
39,10,0.12748
39,29,0.11168
39,48,0.10884
39,67,0.10854
39,86,0.10738
39,105,0.10686
39,124,0.10666
39,143,0.10542
40,10,0.12512
40,29,0.11194
40,48,0.10896
40,67,0.10722
40,86,0.10764
40,105,0.10652
40,124,0.10666
40,143,0.1055
41,10,0.1268
41,29,0.11146
41,48,0.10834
41,67,0.10778
41,86,0.10642
41,105,0.10698
41,124,0.1072
41,143,0.10658
42,10,0.12676
42,29,0.11174
42,48,0.10918
42,67,0.10804
42,86,0.10776
42,105,0.10686
42,124,0.10664
42,143,0.10654
43,10,0.12354
43,29,0.1118
43,48,0.10898
43,67,0.10734
43,86,0.10704
43,105,0.10628
43,124,0.10648
43,143,0.1068
44,10,0.12538
44,29,0.11118
44,48,0.10974
44,67,0.10826
44,86,0.10678
44,105,0.10792
44,124,0.10634
44,143,0.10714
44,162,0.1063
44,181,0.10698
44,200,0.10602
