k,bucket,error
1,1,0.1026
3,1,0.1216
5,1,0.1346
7,1,0.147
9,1,0.154
1,2,0.0986
3,2,0.1224
5,2,0.1382
7,2,0.1422
9,2,0.1558
1,3,0.1016
3,3,0.1254
5,3,0.1432
7,3,0.1576
9,3,0.166
1,4,0.0964
3,4,0.1114
5,4,0.1332
7,4,0.1498
9,4,0.158
1,5,0.1044
3,5,0.1124
5,5,0.128
7,5,0.1444
9,5,0.156
1,6,0.1006
3,6,0.1212
5,6,0.1378
7,6,0.1502
9,6,0.1554
1,7,0.0996
3,7,0.1244
5,7,0.1384
7,7,0.1466
9,7,0.1604
1,8,0.1002
3,8,0.1272
5,8,0.142
7,8,0.153
9,8,0.1596
1,9,0.1016
3,9,0.1168
5,9,0.13
7,9,0.1412
9,9,0.1544
1,10,0.106
3,10,0.1252
5,10,0.1426
7,10,0.145
9,10,0.156
