"mtry","ntree","Misclass"
35,250,0.10558
35,500,0.10516
35,750,0.10528
35,1000,0.10528
36,250,0.10592
36,500,0.10588
36,750,0.10482
36,1000,0.10562
37,250,0.10532
37,500,0.10568
37,750,0.10556
37,1000,0.1054
38,250,0.10516
38,500,0.10526
38,750,0.10528
38,1000,0.10534
39,250,0.10476
39,500,0.105
39,750,0.10506
39,1000,0.10526
40,250,0.10578
40,500,0.10558
40,750,0.10478
40,1000,0.10586
41,250,0.10588
41,500,0.10528
41,750,0.10526
41,1000,0.10468
42,250,0.10598
42,500,0.10542
42,750,0.10538
42,1000,0.10528
43,250,0.1057
43,500,0.10546
43,750,0.10538
43,1000,0.10568
44,250,0.1058
44,500,0.10568
44,750,0.10572
44,1000,0.10618
