"V1","V2","V3"
2,1,0.5198
2,2,0.5202
2,3,0.514
2,4,0.5238
2,5,0.5152
2,6,0.5202
2,7,0.5154
2,8,0.5178
2,9,0.5298
2,10,0.5152
3,1,0.2486
3,2,0.26
3,3,0.2502
3,4,0.2524
3,5,0.254
3,6,0.2514
3,7,0.2486
3,8,0.2558
3,9,0.2602
3,10,0.2542
4,1,0.1614
4,2,0.1444
4,3,0.1526
4,4,0.1506
4,5,0.1552
4,6,0.1608
4,7,0.1566
4,8,0.156
4,9,0.1482
4,10,0.1564
5,1,0.1164
5,2,0.1164
5,3,0.1216
5,4,0.109
5,5,0.1188
5,6,0.1114
5,7,0.1124
5,8,0.1168
5,9,0.119
5,10,0.1172
6,1,0.1062
6,2,0.104
6,3,0.1064
6,4,0.1072
6,5,0.1026
6,6,0.108
6,7,0.1088
6,8,0.1084
6,9,0.1156
6,10,0.1126
7,1,0.1014
7,2,0.1122
7,3,0.1028
7,4,0.106
7,5,0.1
7,6,0.105
7,7,0.1128
7,8,0.1056
7,9,0.1046
7,10,0.1016
8,1,0.0994
8,2,0.1012
8,3,0.104
8,4,0.0978
8,5,0.1038
8,6,0.0986
8,7,0.1004
8,8,0.105
8,9,0.1114
8,10,0.101
9,1,0.1066
9,2,0.0992
9,3,0.105
9,4,0.101
9,5,0.0996
9,6,0.1052
9,7,0.0946
9,8,0.1056
9,9,0.102
9,10,0.1024
10,1,0.1022
10,2,0.1036
10,3,0.0962
10,4,0.1048
10,5,0.1052
10,6,0.099
10,7,0.104
10,8,0.094
10,9,0.1034
10,10,0.1016
11,1,0.0992
11,2,0.1118
11,3,0.093
11,4,0.1016
11,5,0.0982
11,6,0.1044
11,7,0.1014
11,8,0.1006
11,9,0.1048
11,10,0.0992
12,1,0.1002
12,2,0.1038
12,3,0.0984
12,4,0.1072
12,5,0.106
12,6,0.1024
12,7,0.099
12,8,0.0978
12,9,0.1016
12,10,0.0976
13,1,0.0992
13,2,0.1006
13,3,0.1036
13,4,0.1042
13,5,0.1024
13,6,0.1064
13,7,0.0986
13,8,0.1028
13,9,0.1004
13,10,0.1004
